col0,col1,col2
T-Cel antigen Receptor (TCR) pathway during Staphylococcus aureus infection,ZAP70,toxic shock syndrome
IM1 and megakaryocytes in obesity,F2,obesity
Extracelllar vesicle-mediated signaling in recipient cells,MFGE8,cancer
ErbB Signaling Pathwa|,AKT2,multiple sclerosis
Lipid Metabolism Pahway,palmitic acid,obesity
Photodynamic therapy-induced unolded protein response,WARS1,cancer
Photodynamic therapy0induced NFE2L2 (NRF2) survival signaling,ABCG2,cancer
Lgptin and adiponectin,acetyl coenzyme a,glucose metabolism disease
Imatinie and Chronic Myeloid Leukemia,imatinib,chronic myeloid leukemia
HypertrophyModel,EIF4E,heart disease
"MicroRNA for Targeting Cancer Growth""and Vascularization in Glioblastoma",VEGFC,cancer
Calcium Regulaion in the Cardiac Celo,epinephrine,cardiovascular disease
H19 actio Rb-E2F1 signaling and CDK-Beta-catenin activity,SOX4,colorectal cancer
PDGFR-beta pathwy,HRAS,ovarian cancer
Folate-Alcohol andCancer Pathway Hypotheses,ethanol,oral cavity cancer
Type II diabetes melltus,adenosine triphosphate,hyperglycemia
TP53 etwork,CDKN2A,cancer
Fatty Aid Omega Oxidation,lauric acid,lipid metabolism disorder
Hepatitis C and Hepaocellular Carcinoma,PODXL,hepatocellular carcinoma
Codene and Morphine Metabolim,morphine,Gilbert syndrome
