col0,col1,col2,col3
Electrophysiology and Blood Flow in Patients With Schizophrenia and Their Siblings,National Institutes of Health,schizophrenia,National Institute of Mental Health
PET Scanning in Parkinson s Disease,National Institutes of Health,Parkinson disease,National Institute of Mental Health
Safety and Tolerability of a Modified Vaccinia Ankara (MVA)-Based Vaccine Modified to Express Brachyury and T-cell Costimulatory Molecules (MVA-Brachyury-TRICOM),National Institutes of Health,vaccinia,National Cancer Institute
AZD6244 Hydrogen Sulfate for Children With Nervous System Tumors,National Institutes of Health,neurofibroma,National Cancer Institute
"Pilot Study of Allogeneic Tumor Cell Vaccine With Metronomic Oral Cyclophosphamide and Celecoxib in Patients Undergoing Resection of Lung and Esophageal Cancers, Thymic Neoplasms, and Malignant Pleural Mesotheliomas",National Institutes of Health,sarcoma,National Cancer Institute
Effects of Potent Antiretroviral Therapy on Kaposi s Sarcoma,National Institutes of Health,sarcoma,National Cancer Institute
Administration of Anti-CD19-chimeric-antigen-receptor-transduced T Cells From the Original Transplant Donor to Patients With Recurrent or Persistent B-cell Malignancies After Allogeneic Stem Cell Transplantation,National Institutes of Health,lymphoma,National Cancer Institute
Phase II Study of Dose-Adjusted EPOCH-Rituximab in Adults With Untreated Burkitt Lymphoma and c-MYC+ Diffuse Large B-Cell Lymphoma,National Institutes of Health,lymphoma,National Cancer Institute
Topical Romidepsin to Treat Early-Stage Cutaneous T-Cell Lymphoma,National Institutes of Health,lymphoma,National Cancer Institute
EPOCH and Rituximab to Treat Non-Hodgkin's Lymphoma in Patients With HIV Infection,National Institutes of Health,lymphoma,National Cancer Institute
Natural History of Patients With Brain and Spinal Cord Tumors,National Institutes of Health,astrocytoma,National Cancer Institute
Natural History and Tissue Acquisition Study of Adrenocortical Carcinoma,National Institutes of Health,carcinoma,National Cancer Institute
PLX3397 in Children and Young Adults With Refractory Leukemias and Refractory Solid Tumors Including Neurofibromatosis Type 1 (NF1) Associated Plexiform Neurofibromas (PN),National Institutes of Health,leukemia,National Cancer Institute
Combination Antibody Therapy for Relapsed Lymphoma and Chronic Lymphocytic Leukemia,National Institutes of Health,leukemia,National Cancer Institute
"Pilot Study of Non-Myeloablative, HLA-Matched Allogeneic Stem Cell Transplantation for Pediatric Hematopoietic Malignancies",National Institutes of Health,leukemia,National Cancer Institute
Study of Efficacy and Safety of CTL019 in Adult DLBCL Patients,Novartis,lymphoma,Novartis
Vortioxetine for Binge Eating Disorder,University of Chicago,bulimia,University of Chicago
Bone Mass Accrual in Adolescent Athletes,Massachusetts General Hospital,amenorrhea,Massachusetts General Hospital
a4b7 Integrin in Eosinophilic Esophagitis,Massachusetts General Hospital,esophagitis,Massachusetts General Hospital
REAL HEALTH-Diabetes: Reach Ahead for Lifestyle and Health-Diabetes,Massachusetts General Hospital,diabetes mellitus,Massachusetts General Hospital
