col0,col1,col2
rac-tilidine,Opium Law,(+)-tilidine
Validol,Armenian Soviet Encyclopedia,carbon
potassium iodide,Great Encyclopedia of Cyril and Methodius,potassium
sodium chloride,Brockhaus and Efron Encyclopedic Dictionary,sodium
arsenic trioxide,Brockhaus and Efron Encyclopedic Dictionary,oxygen
heroin,Larousse Encyclopedia online,carbon
L-aspartic Acid,Armenian Soviet Encyclopedia,carbon
codeine,Armenian Soviet Encyclopedia,carbon
L-phenylalanine,Armenian Soviet Encyclopedia,carbon
glutathione,Armenian Soviet Encyclopedia,carbon
thiamine ion,Armenian Soviet Encyclopedia,carbon
cocaine,Armenian Soviet Encyclopedia,carbon
progesterone,Armenian Soviet Encyclopedia,carbon
calcium carbonate,Armenian Soviet Encyclopedia,carbon
pethidine,Opium Law,carbon
lysergic acid diethylamide,Opium Law,carbon
sodium bicarbonate,Armenian Soviet Encyclopedia,hydrogen
methenamine,Armenian Soviet Encyclopedia,hydrogen
adenine,Armenian Soviet Encyclopedia,hydrogen
caffeine,Ottův slovník naučný,hydrogen
