col0,col1,col2,col3
Solute carrier family 18 member A2,Major facilitator superfamily,SLC18A2,reserpine
Free fatty acid receptor 2,G protein-coupled receptor 40-related receptor,FFAR2,valeric acid
Free fatty acid receptor 3,G protein-coupled receptor 40-related receptor,FFAR3,valeric acid
Sigma non-opioid intracellular receptor 1,ERG2/sigma1 receptor-like,SIGMAR1,dextromethorphan
Protein kinase C zeta,Protein kinase-like domain superfamily,PRKCZ,arachidonic acid
Transient receptor potential cation channel subfamily C member 6,Transient receptor potential channel,TRPC6,arachidonic acid
Free fatty acid receptor 1,GPR40 receptor fatty acid,FFAR1,linoleic acid
Peroxisome proliferator activated receptor gamma,"Zinc finger, NHR/GATA-type",PPARG,resveratrol
Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor,NR1I2,phenobarbital
Lysine acetyltransferase 2B,Acyl-CoA N-acyltransferase,KAT2B,epigallocatechin gallate
E1A binding protein p300,Histone acetyltransferase Rtt109/CBP,EP300,epigallocatechin gallate
Nuclear receptor subfamily 1 group I member 3,Thyroid hormone receptor,NR1I3,(RS)-meclizine
Nuclear receptor subfamily 3 group C member 1,Glucocorticoid receptor,NR3C1,desoximetasone
Potassium voltage-gated channel subfamily B member 2,voltage-gated ion channel,KCNB2,quinine
Acid sensing ion channel subunit 1,acid-sensing ion channel,ASIC1,ibuprofen
Adrenoceptor beta 3,Beta 3 adrenoceptor,ADRB3,norepinephrine
Adrenoceptor alpha 2C,Alpha 2C adrenoceptor,ADRA2C,norepinephrine
Adrenoceptor alpha 2B,Alpha 2B adrenoceptor,ADRA2B,norepinephrine
Adrenoceptor alpha 2A,Alpha 2A adrenoceptor,ADRA2A,norepinephrine
Adrenoceptor alpha 1A,Alpha 1A adrenoceptor,ADRA1A,norepinephrine
