col0,col1,col2,col3
BACH2,Bach2,multiple sclerosis,protein-coding gene
PTPRD,Ptprd,obesity,protein-coding gene
KMO,Kmo,obesity,protein-coding gene
SLMAP,Slmap,obesity,protein-coding gene
RFC5,Rfc5,obesity,protein-coding gene
PKP2,Pkp2,obesity,protein-coding gene
RGS7,Rgs7,obesity,protein-coding gene
MAP2K5,Map2k5,obesity,protein-coding gene
UNC5C,Unc5c,obesity,protein-coding gene
TSC2,Tsc2,obesity,protein-coding gene
TMOD1,Tmod1,obesity,protein-coding gene
TIMP2,Timp2,obesity,protein-coding gene
TFAP2B,Tfap2b,obesity,protein-coding gene
SYT1,Syt1,obesity,protein-coding gene
SPTB,Sptb,obesity,protein-coding gene
SNRPN,Snrpn,obesity,protein-coding gene
SLIT1,Slit1,obesity,protein-coding gene
SLC8A1,Slc8a1,obesity,protein-coding gene
RYR2,Ryr2,obesity,protein-coding gene
RSU1,Rsu1,obesity,protein-coding gene
