col0,col1,col2,col3
Technical Development of Cardiovascular Magnetic Resonance Imaging,National Institutes of Health,myocardial infarction,"National Heart, Lung, and Blood Institute"
"Treatment of Uterine Fibroids With CDB-2914, an Experimental Selective Progesterone Receptor Antagonist",National Institutes of Health,leiomyoma,Eunice Kennedy Shriver National Institute of Child Health and Human Development
Comparing Pump With Subcutaneous Injection Delivery of PTH 1-34 in the Management of Chronic Hypoparathyroidism,National Institutes of Health,hypoparathyroidism,Eunice Kennedy Shriver National Institute of Child Health and Human Development
Evaluation and Treatment of Patients With Connective Tissue Disease,National Institutes of Health,osteogenesis imperfecta,Eunice Kennedy Shriver National Institute of Child Health and Human Development
Genetic Factors in Atherosclerosis,National Institutes of Health,atherosclerosis,National Institute of Allergy and Infectious Diseases
Brain Changes in Children and Adolescents With Behavioral Problems,National Institutes of Health,conduct disorder,National Institute of Mental Health
PET Imaging of Peripheral Benzodiazepine Receptors in Patients With Neurocysticercosis Using [C-11]PBR28,National Institutes of Health,cysticercosis,National Institute of Mental Health
Cholinergic Modulation of Condition and Emotion in Mood Disorders: Functional Neuroimaging Studies,National Institutes of Health,bipolar disorder,National Institute of Mental Health
Evaluation of Patients With Mood and Anxiety Disorders and Healthy Volunteers,National Institutes of Health,bipolar disorder,National Institute of Mental Health
PET Evaluation of Brain Peripheral Benzodiazepine Receptors Using [11C]PBR28 in HIV-Seropositive Patients With (MCMD),National Institutes of Health,dementia,National Institute of Mental Health
Sorafenib to Treat Children and Young Adults With Neurofibromatosis Type 1 and Inoperable Plexiform Neurofibromas,National Institutes of Health,neurofibroma,National Cancer Institute
Follow-up of Breast Cancer and Multiple Myeloma Patients Previously Enrolled in NIH Gene Therapy Studies,National Institutes of Health,multiple myeloma,National Cancer Institute
BAY 43-9006 (Sorafenib) to Treat Patients With Kaposi's Sarcoma,National Institutes of Health,sarcoma,National Cancer Institute
Phase II Study of Cediranib (AZD2171) in Patients With Alveolar Soft Part Sarcoma,National Institutes of Health,sarcoma,National Cancer Institute
Safety of Batracylin in Patients With Solid Tumors and Lymphomas,National Institutes of Health,lymphoma,National Cancer Institute
A Phase I Study of Intravenous Recombinant Human IL-15 in Adults With Refractory Metastatic Malignant Melanoma and Metastatic Renal Cell Cancer,National Institutes of Health,melanoma,National Cancer Institute
Eligibility Screening of Patients With Central Nervous System Tumors for the National Cancer Institute s (NCI) Clinical Research Protocols,National Institutes of Health,astrocytoma,National Cancer Institute
"A Phase I Study of ABT-888, an Oral Inhibitor of Poly(ADP-ribose) Polymerase and Temozolomide in Children With Recurrent/Refractory CNS Tumors",National Institutes of Health,astrocytoma,National Cancer Institute
Mechanisms Behind Antidiabetic Effects by Gastric By-pass,Uppsala University,diabetes mellitus,Karolinska Institutet Innovations (Sweden)
The Role of Bacteria and Genetic Variations in Cystic Fibrosis,University of Washington,cystic fibrosis,"National Heart, Lung, and Blood Institute"
