col0,col1,col2
coccidiosis,infectiology,toltrazuril
relapsing fever borreliosis,infectiology,doxycycline
progressive multifocal leukoencephalopathy,neurology,mirtazapine
parasitic helminthiasis infectious disease,infectiology,albendazole
molluscum contagiosum,dermatology,cantharidin
pyelonephritis,urology,ciprofloxacin
sporotrichosis,infectiology,natamycin
blastomycosis,infectiology,natamycin
campylobacteriosis,infectiology,erythromycin
Kaposi's sarcoma,oncology,dactinomycin
otitis externa,otolaryngology,acetic acid
bacterial infectious disease,infectiology,bismuth
hypodermyasis,infectiology,clorsulon
lymph node tuberculosis,infectiology,rifampicin
tuberculous meningitis,neurology,rifampicin
borderline leprosy,infectiology,clofazimine
mansonelliasis,infectiology,ivermectin
fungal meningitis,neurology,amphotericin B
necatoriasis,infectiology,albendazole
tinea pedis,infectiology,sodium hypochlorite
