col0,col1,col2
CTSK,human chromosome 1,reverse strand
CTSS,human chromosome 1,reverse strand
SELL,human chromosome 1,reverse strand
IRF6,human chromosome 1,reverse strand
HSPG2,human chromosome 1,reverse strand
AVP1B,human chromosome 1,reverse strand
MUTYH,human chromosome 1,reverse strand
SELP,human chromosome 1,reverse strand
GBA,human chromosome 1,reverse strand
STMN1,human chromosome 1,reverse strand
RNSEL,human chromosome 1,reverse strand
F3,human chromosome 1,reverse strand
MTOR,human chromosome 1,reverse strand
NGF,human chromosome 1,reverse strand
CD34,human chromosome 1,reverse strand
NID1,human chromosome 1,reverse strand
NPPB,human chromosome 1,reverse strand
F5,human chromosome 1,reverse strand
MTHFR,human chromosome 1,reverse strand
IL10,human chromosome 1,reverse strand
SERPINC2,human chromosome 1,reverse strand
NPPA,human chromosome 1,reverse strand
ASPM,human chromosome 1,reverse strand
HCRT,human chromosome 17,reverse strand
C17orf313,human chromosome 17,reverse strand
CD53,human chromosome 1,forward strand
NR5A2,human chromosome 1,forward strand
CDC42,human chromosome 1,forward strand
BGLAP,human chromosome 1,forward strand
FMO3,human chromosome 1,forward strand
HDAC1,human chromosome 1,forward strand
