col0,col1,col2,col3
Adenosine A2b receptor,membrane proteins,Adora2b,caffeine
Adenosine A2b receptor,Adenosine A2B receptor,ADORA2B,caffeine
Adenosine A2a receptor,G protein-coupled receptor,ADORA2A,caffeine
Potassium sodium-activated channel subfamily T member 1,"Potassium channel, BK, alpha subunit",KCNT1,loxapine
Dopamine receptor D3,G protein-coupled receptor,DRD3,loxapine
5-hydroxytryptamine (serotonin) receptor 7,membrane proteins,Htr7,amitriptyline
Dopamine receptor D5,Dopamine D5 receptor,DRD5,thioridazine
Dopamine receptor D1,Dopamine D1 receptor,DRD1,thioridazine
5-hydroxytryptamine receptor 1A,5-Hydroxytryptamine 1A receptor,HTR1A,thioridazine
Prostaglandin-endoperoxide synthase 1,Haem peroxidase superfamily,PTGS1,acetaminophen
Opioid receptor delta 1,Delta opioid receptor,OPRD1,pethidine
Transient receptor potential cation channel subfamily M member 3,Transient receptor potential cation channel subfamily M member 3,TRPM3,mefenamic acid
"Transient receptor potential cation channel, subfamily V, member 1",Transient receptor potential cation channel subfamily V member 1,Trpv1,capsaicin
Androgen receptor,Androgen receptor,AR,bisphenol A
Glucocorticoid receptor,Glucocorticoid receptor,Nr3c1,corticosterone
Prostaglandin F receptor,Prostaglandin F receptor,PTGFR,dinoprost
Transient receptor potential cation channel subfamily M member 8,Transient receptor potential cation channel subfamily M member 8,TRPM8,menthol
"Transient receptor potential cation channel, subfamily A, member 1",Transient receptor potential cation channel subfamily A member 1,Trpa1,menthol
Transient receptor potential cation channel subfamily A member 1,Transient receptor potential cation channel subfamily A member 1,TRPA1,oleocanthal
Transient receptor potential cation channel subfamily M member 4,Transient receptor potential cation channel subfamily M member 4,TRPM4,adenosine diphosphate
